1.000000000000000000e+00,9.999996145330051212e-01,1.000000000000000000e+00,9.999898608101266406e-01,8.420861581852846500e-01,7.177061162463966859e-01,6.231462074586353594e-01,6.713101010957608361e-01,6.360393604757869079e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999998329406560860e-01,8.514250511565457646e-01,7.529427241055902664e-01,6.472107254906432905e-01,7.134774289193069885e-01,6.841529248728486223e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.999997044735002838e-01,9.999997430182161473e-01,8.329665199773028661e-01,7.928326896159904047e-01,6.490802293544856161e-01,6.917627307381641888e-01,6.421749591966384729e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.999256922391756008e-01,1.000000000000000000e+00,9.188980481405312206e-01,7.203872882474150474e-01,6.341043427640444818e-01,6.885261449869316541e-01,6.687800924473286113e-01
1.000000000000000000e+00,9.999905930355976746e-01,9.999424104799050639e-01,1.000000000000000000e+00,9.126022430061945245e-01,7.223059922848052983e-01,6.846816788845332402e-01,7.032327279272289067e-01,6.310911308771964823e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.999085155793150381e-01,9.999954128536441278e-01,8.619092434197699326e-01,8.205213498857272247e-01,9.172265485265638230e-01,7.107942291144506708e-01,6.264466103507275729e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.999998329415491494e-01,9.999495927866828282e-01,8.455373248819990639e-01,7.491543452285663873e-01,6.704798453763395338e-01,7.073680566635293099e-01,6.716459951341403611e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.999763056767128067e-01,1.000000000000000000e+00,8.571851880347984842e-01,7.345153955340082419e-01,8.319750681997941655e-01,6.590266483859219537e-01,6.682819046384461670e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.999930350723430506e-01,9.999994860419266773e-01,1.000000000000000000e+00,7.213282981038804387e-01,6.289342548555684198e-01,6.631883819985453510e-01,6.654503836009371120e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.999307669332798687e-01,9.999998972078504300e-01,8.914964631137873852e-01,7.419709604177077145e-01,9.852707063197323478e-01,6.914291467701484395e-01,6.566133879303963639e-01
